año,CENTRO,INTERCONFERENCIA,NORTE,OESTE,SUR
2019,0.021739130434782615,0.02564102564102563,0.027777777777777776,0.027027027027027025,0.027777777777777776
2022,0.020833333333333336,0.024390243902439025,0.028571428571428567,0.027027027027027025,0.02127659574468084
2023,0.020408163265306117,0.058823529411764705,0.027027027027027025,0.023255813953488372,0.020408163265306117
2024,0.015151515151515154,0.030303030303030307,0.015873015873015872,0.020408163265306117,0.018518518518518514
