año,region,equipo,win_pct,partidos
2019,NORTE,CLUB TRES DE FEBRERO BLANCO,0.6095238095238096,105
2019,NORTE,COOPERATIVA TORTUGUITAS,0.4020618556701031,97
2019,NORTE,DEPORTIVO SAN ANDRES,0.6915887850467289,107
2019,NORTE,FLORIDA CLUB,0.34375,96
2019,NORTE,HARRODS GATH Y CHAVES,0.32,100
2019,NORTE,HEBRAICA,0.5566037735849056,106
2019,NORTE,LAS HERAS A,0.5242718446601942,103
2019,NORTE,LAS HERAS B,0.17,100
2019,NORTE,NAUTICO BUCHARDO A,0.6388888888888888,108
2019,NORTE,NAUTICO HACOAJ AZUL,0.53,100
2019,NORTE,NAUTICO HACOAJ BLANCO,0.6388888888888888,108
2019,NORTE,OBRAS NORTE,0.6,40
2019,NORTE,PLATENSE BLANCO,0.28421052631578947,95
2019,NORTE,PLATENSE MARRON,0.5728155339805825,103
2019,NORTE,RIVER PLATE,0.8,40
2019,NORTE,SAN FERNANDO AZUL,0.5142857142857142,105
2019,NORTE,SAN FERNANDO BLANCO,0.42574257425742573,101
2019,NORTE,SOCIAL BECCAR,0.46,100
2019,NORTE,SPORTIVO VILLA BALLESTER,0.19,100
2019,NORTE,TELEFONOS,0.5604395604395604,91
2019,NORTE,U.V.V.ADELINA,0.525,40
2019,NORTE,UNION FLORIDA,0.5825242718446602,103
2019,NORTE,UNION VECINAL DE MUNRO,0.4019607843137255,102
2019,NORTE,UNIVERSIDAD DE BUENOS AIRES,0.7614678899082569,109
2019,NORTE,VICTORIA,0.5048543689320388,103
2019,OESTE,A.F.A.L.P. A,0.75,40
2019,OESTE,ALTE. BROWN,0.49,100
2019,OESTE,ALTUBE,0.30303030303030304,99
2019,OESTE,ARGENTINO DE CASTELAR CENTRO,0.4803921568627451,102
2019,OESTE,ARGENTINO DE CASTELAR NORTE,0.6190476190476191,105
2019,OESTE,C.A.S.A PADUA A,0.719626168224299,107
2019,OESTE,C.A.S.A PADUA B,0.37254901960784315,102
2019,OESTE,CEDEM,0.422680412371134,97
2019,OESTE,CENTRO ESPAÑOL,0.625,96
2019,OESTE,CLARIDAD,0.49019607843137253,102
2019,OESTE,Club GEI AZUL,0.4563106796116505,103
2019,OESTE,Club GEI BLANCO,0.32,75
2019,OESTE,DEFENSORES DE HURLINGHAM VERDE,0.42574257425742573,101
2019,OESTE,DEFENSORES DE MORENO,0.2972972972972973,37
2019,OESTE,DEFENSORES DE SANTOS LUGARES,0.5263157894736842,95
2019,OESTE,DEP. MORON BLANCO,0.6,105
2019,OESTE,EL PALOMAR,0.5833333333333334,96
