Equipo,Puntos
DEFENSORES DE HURLINGHAM VERDE,86251.02125
CENTRO GALICIA,84908.16
CEDEM,84758.96375
ALL BOYS BLANCO,84534.8009375
CIUDAD DE BUENOS AIRES B,84180.7746875
EL TALAR,83862.85
MACABI,83111.5903125
17 DE AGOSTO,82831.685625
BANADE,82583.5759375
LOS ANDES,82505.06125
UNITARIOS DE MARCOS PAZ,82434.6
UNION VECINAL DE MUNRO,81605.22562499999
DEFENSORES DE BANFIELD,80354.199375
RAMOS MEJIA LTC,80097.33750000001
BURZACO FC A,79212.50375
OLIMPO,79114.81625
BOCA JUNIORS AMARILLO,79025.975
MIDLAND,78688.02125
CLUB TRES DE FEBRERO AZUL,78632.5871875
CLUB SOCIAL ALEJANDRO KORN,77807.13750000001
ARMENIA,77259.93375
PINOCHO BLANCO,76116.66062499999
GEVP CELESTE,75580.15625
LOS INDIOS DE MORENO BLANCO,74526.4675
COUNTRY BANFIELD A,73955.144375
VILLEGAS BASQUET,73755.445625
COOPERARIOS,72646.59625
DEP. MORON BLANCO,72549.73875
INSTITUCION SARMIENTO BLANCO,71685.86
BANCO NACIÓN,70787.19750000001
MORON B,70146.3803125
ESTUDIANTIL PORTEÑO B,69460.74812500001
C.A.S.A PADUA B,68956.51375
GEBA,68905.39156250001
CAZA Y PESCA B,68884.0834375
CLUB ATLETICO PILAR,68815.96500000001
LAS HERAS A,68742.34
SPORTIVO VILLA BALLESTER,68294.68375
COPELLO,67896.22312499999
EL PALOMAR,66756.925625
UNLAM A,66668.86750000001
LEANDRO N ALEM,65583.14
DEFENSORES DE SANTOS LUGARES,65459.925625
COOPERATIVA TORTUGUITAS,65304.23375000001
CLUB ATLETICO BERNAL,64890.341875
CLUB PORTUGUES DEL GRAN BUENOS AIRES,64522.4584375
LANUS B,64015.441562500004
LOBOS ATHLETIC CLUB,63603.29781249999
ARGENTINOS JUNIORS,62892.880625
PORTEÑO ATLETICO CLUB,62342.46125
ITALIANO B,61323.236875
CENTRO ESPAÑOL,59488.28875000001
CIRCULO URQUIZA AZUL,58764.97562500001
G.E DE LOMAS DE ZAMORA B,58250.084375
VILLA ESPAÑA,55949.630625000005
YUPANQUI,55567.965625000004
DEFENSORES DE GLEW,55346.25937500001
SOCIAL LANUS,55308.341250000005
COLEGIALES NEGRO,54969.130625000005
CLUB GEI BLANCO,54464.528437500005
GUILLON BASQUET,54400.89750000001
SAN LORENZO ROJO,54368.630312500005
IMPERIO NEGRO,53530.850000000006
CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO,53030.763437500005
SITAS,52949.06468750001
INDEPENDIENTE DE BURZACO,52783.6934375
COLON FC,51952.103125
FERROCARRIL OESTE C,51438.582500000004
PLATENSE BLANCO,51173.4009375
NAUTICO HACOAJ AZUL,50941.405625
CLUB SOCIAL EZEIZA,50694.178125
JUVENTUD UNIDA,50609.188125
CIUDADELA NORTE,49961.99906250001
LA UNION,49648.162500000006
VELEZ SARSFIELD AZUL,49313.073125
ITALIANO DE JOSE C PAZ,49219.715625
TAPONAZO  FUTBOL CLUB,48983.57625
SPORTIVO ALSINA,47591.0546875
PEDRO ECHAGUE AMARILLO,47508.49875
MORENO DE QUILMES,46106.318750000006
ESTRELLA DE BOEDO,45742.1034375
MUNICIPALIDAD DE AVELLANEDA,45473.756250000006
SAN FERNANDO BLANCO,44411.5890625
LAS HERAS B,43129.85968750001
CLUB 12 DE OCTUBRE,42488.805
BELLA VISTA,41929.795312500006
JOSE HERNANDEZ B,41200.879375000004
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,40953.8765625
DEFENSORES DE MORENO,40670.26875
PINOCHO VERDE,37747.490625000006
CLUB EL FOGON,37319.850000000006
HURACAN DE SAN JUSTO BLANCO,37068.15
NAUTICO BUCHARDO B,36961.950000000004
DEPORTIVO CROVARA B,36283.623437500006
RACING ANEXO,34700.192812500005
CLUB ATLETICO PAMPERO,32884.200937500005
DEP. MORON ROJO,32231.826250000002
TALLERES,31646.353125
NUEVA CHICAGO,30564.1796875
A.F.A.L.P. B,28074.604375000003
LUZ Y ARTE,26708.526562500003
BANCO PROVINCIA B,22729.254375000004
SAN MIGUEL BLANCO,19348.678125000002
CIRCULO URQUIZA BLANCO,17225.5640625
ALL BOYS NEGRO,14204.095312500001
"ESTUDIANTIL PORTEÑO ""C""",13972.612500000001
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,13896.703125000002
ALTE. BROWN,11826.40625
U.A.I. URQUIZA,11597.96875
INSTITUTO GLEW,10589.125
RAMOS MEJIA LTC B,9540.4375
TELEFONOS,8833.9375
VILLA SAHORES,8094.71875
ALTUBE,6610.90625
VILLA IDEAL,6503.25
SCHOLEM ALEIJEM,6224.96875
BURZACO FC B,5953.593750000001
FLORIDA CLUB,5106.5625
SIERO BIBLIOTECA,4052.343750000001
LIBRE,451.18125000000003
ARGENTINO DE QUILMES,0.0
ARQUITECTURA BLANCO,0.0
ALL BOYS DE SAAVEDRA,0.0
ALDO BONZI,0.0
ATLETICO BOULOGNE FLEX,0.0
CLUB  JUVENTUD  UNIDA  DE LAVALLOL - FLEX,0.0
DEFENSORES DE HURLINGHAM  BLANCO,0.0
COUNTRY BANFIELD B,0.0
CLUB CEPA,0.0
CLUB SOCIAL Y DEPORTIVO ARENAL,0.0
CLUB ATLETICO HURACAN,0.0
BANADE AMARILLO,0.0
EL PORVENIR,0.0
INDEPENDIENTE DE ESCOBAR,0.0
MUNICIPALIDAD DE HURLINGHAM,0.0
MONTE GRANDE FLEX,0.0
JUVENCIA,0.0
PASO DEL REY,0.0
OLIMPO FLEX,0.0
SPORTIVO HAEDO,0.0
SOCIEDAD ATLETICA PABELLON ARGENTINO,0.0
VICTORIA FLEX,0.0
