Equipo,Puntos
FERROCARRIL OESTE A,292189.875
BOCA JUNIORS AZUL,250695.27500000002
LANUS A,250386.05000000002
OBRAS CENTRO,240713.825
GEVP BLANCO,216567.33125
RIVER PLATE,216024.45
G.E DE LOMAS DE ZAMORA A,204289.25
OBRAS NORTE,200258.25
CLUB TRES DE FEBRERO BLANCO,196651.85
INSTITUCION SARMIENTO VERDE,190573.175
PINOCHO,188628.6875
ARGENTINO DE CASTELAR NORTE,183670.3
ESTUDIANTIL PORTEÑO A,173044.95
QUILMES A.C.,171224.475
WILDE SPORTING,169705.25625
MORON A,164067.725
LOS INDIOS DE MORENO NEGRO,157226.325
VELEZ SARSFIELD BLANCO,148717.40625
CAZA Y PESCA A,147857.94375
SAN FERNANDO AZUL,145961.85
CIUDAD DE BUENOS AIRES A,145848.3875
C.A.S.A PADUA A,143046.80000000002
SAN LORENZO AZUL,140450.75624999998
PRESIDENTE DERQUI,134426.245
SPORTIVO ESCOBAR,133271.41999999998
CLUB GEI AZUL,128273.41875000001
CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,125374.90250000001
PEDRO ECHAGUE AZUL,124353.55
A.F.A.L.P. A,118859.68125
TRISTAN SUAREZ,117453.00000000001
IMPERIO BLANCO,115267.75625
CLARIDAD,114398.73
RACING CLUB,111321.5125
INDEPENDIENTE,108326.1875
COMUNICACIONES,108077.46
BERAZATEGUI,108011.4375
CAÑUELAS FC,107170.30625
ARQUITECTURA NEGRO,106831.72750000001
ITALIANO,105354.20625000002
VICTORIA,104732.6403125
PLATENSE MARRON,104193.98500000002
HEBRAICA,100856.56625
MONTE GRANDE,100541.76250000001
VARELA JRS,99476.3625
HARRODS GATH Y CHAVES,99404.473125
UNION FLORIDA,99384.85
TEMPERLEY,99356.7625
FERROCARRIL OESTE B,97883.4640625
ATLETICO BOULOGNE,97730.01875000002
SAN MIGUEL,97241.49437500001
JOSE HERNANDEZ A,96643.37375
HURACAN DE SAN JUSTO ROJO,96094.58625000001
DEPORTIVO SAN ANDRES,95989.1625
U.V.V.ADELINA,94055.5846875
CLUB SPORTIVO PILAR,92477.42625
BANCO PROVINCIA,92359.136875
APV,91891.67125
UNIVERSIDAD DE BUENOS AIRES,91751.00593750001
NAUTICO BUCHARDO A,91745.32250000001
COLEGIALES BLANCO,91667.40625
ARGENTINO DE CASTELAR CENTRO,90385.864375
NAUTICO HACOAJ BLANCO,89191.01875
NOLTING,88433.01125000001
"DEPORTIVO CROVARA  ""A""",88323.95343750001
VILLA MITRE,87434.16875000001
SOCIAL BECCAR,86928.76125000001
