Equipo,Puntos
CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO,66452.0934375
NAUTICO BUCHARDO B,62739.14750000001
DEP. MORON ROJO,62057.27500000001
CLUB SOCIAL Y DEPORTIVO ARENAL,60837.448125
DEPORTIVO CROVARA B,59882.74968750001
HURACAN DE SAN JUSTO BLANCO,57920.9625
TALLERES,57501.159375
NUEVA CHICAGO,52832.2046875
INDEPENDIENTE DE ESCOBAR,52733.350625
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,51537.065625
SAN MIGUEL BLANCO,48931.385625
A.F.A.L.P. B,48411.154375000006
CLUB CEPA,44944.98375
ALL BOYS NEGRO,39363.9703125
CIRCULO URQUIZA BLANCO,38797.926562500004
ARQUITECTURA BLANCO,38582.275
ARGENTINO DE QUILMES,33155.606250000004
BURZACO FC B,30528.7125
ALL BOYS DE SAAVEDRA,29996.606250000004
EL PORVENIR,29973.589375000003
PASO DEL REY,29645.606250000004
SPORTIVO HAEDO,27917.175000000003
ALDO BONZI,25589.081875
DEFENSORES DE HURLINGHAM  BLANCO,24583.162500000002
BANCO PROVINCIA B,22729.254375000004
JUVENCIA,22619.2125
CLUB ATLETICO HURACAN,20860.36875
BANADE AMARILLO,19344.975000000002
COUNTRY BANFIELD B,17124.65625
"ESTUDIANTIL PORTEÑO ""C""",13972.612500000001
MUNICIPALIDAD DE HURLINGHAM,13965.900000000001
VICTORIA FLEX,13790.887500000003
CLUB  JUVENTUD  UNIDA  DE LAVALLOL - FLEX,12746.175000000001
ALTE. BROWN,11826.40625
U.A.I. URQUIZA,11597.96875
OLIMPO FLEX,10791.787500000002
INSTITUTO GLEW,10589.125
ATLETICO BOULOGNE FLEX,10151.212500000001
RAMOS MEJIA LTC B,9540.4375
SOCIEDAD ATLETICA PABELLON ARGENTINO,9456.768750000001
TELEFONOS,8833.9375
VILLA SAHORES,8094.71875
LIBRE,7420.546249999999
ALTUBE,6610.90625
VILLA IDEAL,6503.25
SCHOLEM ALEIJEM,6224.96875
MONTE GRANDE FLEX,5903.137500000001
FLORIDA CLUB,5106.5625
SIERO BIBLIOTECA,4052.343750000001
