jornada_id;club;P_tira;bandas_ok;bandas_faltantes
10/12/2023|GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA|GIMNASIA Y ESGRIMA DE LA PLATA;GIMNASIA Y ESGRIMA DE LA PLATA;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA|GIMNASIA Y ESGRIMA DE LA PLATA;GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA;0.14999999999999997;U19;U11,U13,U15,U17,U9
17/12/2023|GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA|BOCA JUNIORS;BOCA JUNIORS;0.14999999999999997;U19;U11,U13,U15,U17,U9
17/12/2023|GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA|BOCA JUNIORS;GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|SOCIAL BECCAR|CLUB SPORTIVO PILAR;CLUB SPORTIVO PILAR;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|SOCIAL BECCAR|CLUB SPORTIVO PILAR;SOCIAL BECCAR;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|NAUTICO HACOAJ|ATLETICO BOULOGNE;ATLETICO BOULOGNE;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|NAUTICO HACOAJ|ATLETICO BOULOGNE;NAUTICO HACOAJ;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|CLUB ATLETICO PILAR|CAZA Y PESCA;CLUB ATLETICO PILAR;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|CLUB ATLETICO PILAR|CAZA Y PESCA;CAZA Y PESCA;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|SAN FERNANDO|UNION FLORIDA;SAN FERNANDO;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|SAN FERNANDO|UNION FLORIDA;UNION FLORIDA;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|SOCIAL BECCAR|NAUTICO HACOAJ;SOCIAL BECCAR;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|SOCIAL BECCAR|NAUTICO HACOAJ;NAUTICO HACOAJ;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|CLUB ATLETICO PILAR|SAN FERNANDO;CLUB ATLETICO PILAR;0.3;U15,U19;U11,U13,U17,U9
10/12/2023|CLUB ATLETICO PILAR|SAN FERNANDO;SAN FERNANDO;0.3;U15,U19;U11,U13,U17,U9
17/12/2023|CLUB ATLETICO PILAR|SOCIAL BECCAR;CLUB ATLETICO PILAR;0.14999999999999997;U19;U11,U13,U15,U17,U9
17/12/2023|CLUB ATLETICO PILAR|SOCIAL BECCAR;SOCIAL BECCAR;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|ITALIANO|NUEVA CHICAGO;ITALIANO;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|ITALIANO|NUEVA CHICAGO;NUEVA CHICAGO;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|COLEGIALES|VELEZ SARSFIELD;VELEZ SARSFIELD;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|COLEGIALES|VELEZ SARSFIELD;COLEGIALES;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|GEBA|PINOCHO;PINOCHO;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|GEBA|PINOCHO;GEBA;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|YUPANQUI|FERROCARRIL OESTE;YUPANQUI;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|YUPANQUI|FERROCARRIL OESTE;FERROCARRIL OESTE;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|ITALIANO|VELEZ SARSFIELD;ITALIANO;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|ITALIANO|VELEZ SARSFIELD;VELEZ SARSFIELD;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|GEBA|YUPANQUI;YUPANQUI;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|GEBA|YUPANQUI;GEBA;0.14999999999999997;U19;U11,U13,U15,U17,U9
17/12/2023|ITALIANO|YUPANQUI;ITALIANO;0.14999999999999997;U19;U11,U13,U15,U17,U9
17/12/2023|ITALIANO|YUPANQUI;YUPANQUI;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|SAN LORENZO|ARQUITECTURA;ARQUITECTURA;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|SAN LORENZO|ARQUITECTURA;SAN LORENZO;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|PEDRO ECHAGUE|IMPERIO;PEDRO ECHAGUE;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|PEDRO ECHAGUE|IMPERIO;IMPERIO;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|VILLA MITRE|ITALIANO;ITALIANO;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|VILLA MITRE|ITALIANO;VILLA MITRE;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|PLATENSE|VELEZ SARSFIELD;VELEZ SARSFIELD;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|PLATENSE|VELEZ SARSFIELD;PLATENSE;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|SAN LORENZO|IMPERIO;IMPERIO;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|SAN LORENZO|IMPERIO;SAN LORENZO;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|VILLA MITRE|PLATENSE;PLATENSE;0.14999999999999997;U19;U11,U13,U15,U17,U9
