anio;categoria;fase;ronda;nivel;zona;grupo;jornada;fecha;local;ptsL;visitante;ptsV
2019;JUVENILES;Fase Regular;3ra Fase;3;OESTE;UNICO;1;23/11/2019;ITALIANO DE JOSE C PAZ;67;SAN MIGUEL;75
2019;JUVENILES;Fase Regular;3ra Fase;3;OESTE;UNICO;2;30/11/2019;SAN MIGUEL;52;ALTUBE;47
2019;JUVENILES;Fase Regular;3ra Fase;3;OESTE;UNICO;2;30/11/2019;SITAS;60;ITALIANO DE JOSE C PAZ;44
2019;JUVENILES;Fase Regular;3ra Fase;3;OESTE;UNICO;3;7/12/2019;ALTUBE;77;ITALIANO DE JOSE C PAZ;64
2019;JUVENILES;Fase Regular;3ra Fase;3;OESTE;UNICO;3;7/12/2019;SITAS;66;SAN MIGUEL;68
2019;JUVENILES;Fase Regular;3ra Fase;3;CENTRO;UNICO;2;30/11/2019;GEVP CELESTE;62;SCHOLEM ALEIJEM;17
2019;JUVENILES;Fase Regular;3ra Fase;3;CENTRO;UNICO;1;30/11/2019;BANCO PROVINCIA;60;GEVP BLANCO;94
2019;JUVENILES;Fase Regular;3ra Fase;3;CENTRO;UNICO;2;7/12/2019;BANCO PROVINCIA;53;FLORIDA CLUB;67
2019;JUVENILES;Playoff;Cuartos de Final;2;NORTE;UNIVERSIDAD DE BUENOS AIRES-HEBRAICA;1;24/11/2019;UNIVERSIDAD DE BUENOS AIRES;91;HEBRAICA;47
2019;JUVENILES;Playoff;Cuartos de Final;2;NORTE;BANADE-COOPERATIVA TORTUGUITAS;1;24/11/2019;BANADE;56;COOPERATIVA TORTUGUITAS;49
2019;JUVENILES;Playoff;Cuartos de Final;2;NORTE;NAUTICO BUCHARDO A-CLUB 12 DE OCTUBRE;1;24/11/2019;NAUTICO BUCHARDO A;93;CLUB 12 DE OCTUBRE;48
2019;JUVENILES;Playoff;Cuartos de Final;2;NORTE;CAZA Y PESCA B-SAN FERNANDO BLANCO;1;24/11/2019;CAZA Y PESCA B;71;SAN FERNANDO BLANCO;59
2019;JUVENILES;Playoff;Cuartos de Final;2;CENTRO;FERROCARRIL OESTE B-SAN LORENZO ROJO;1;24/11/2019;FERROCARRIL OESTE B;72;SAN LORENZO ROJO;50
2019;JUVENILES;Playoff;Cuartos de Final;2;CENTRO;ALL BOYS BLANCO-EL TALAR;1;24/11/2019;ALL BOYS BLANCO;69;EL TALAR;58
2019;JUVENILES;Playoff;Cuartos de Final;2;CENTRO;ARMENIA-INSTITUCION SARMIENTO BLANCO;1;24/11/2019;ARMENIA;70;INSTITUCION SARMIENTO BLANCO;61
2019;JUVENILES;Playoff;Cuartos de Final;2;CENTRO;PEDRO ECHAGUE AMARILLO-COLEGIALES NEGRO;1;24/11/2019;PEDRO ECHAGUE AMARILLO;54;COLEGIALES NEGRO;74
2019;JUVENILES;Playoff;Cuartos de Final;2;SUR;OLIMPO-COOPERARIOS;1;24/11/2019;OLIMPO;88;COOPERARIOS;37
2019;JUVENILES;Playoff;Cuartos de Final;2;SUR;INSTITUTO GLEW-VILLEGAS BASQUET;1;24/11/2019;INSTITUTO GLEW;71;VILLEGAS BASQUET;67
2019;JUVENILES;Playoff;Cuartos de Final;2;OESTE;DEP. MORON BLANCO-RAMOS MEJIA LTC B;1;24/11/2019;DEP. MORON BLANCO;72;RAMOS MEJIA LTC B;60
2019;JUVENILES;Playoff;Cuartos de Final;2;OESTE;HURACAN DE SAN JUSTO BLANCO-CEDEM;1;24/11/2019;HURACAN DE SAN JUSTO BLANCO;62;CEDEM;51
2019;JUVENILES;Playoff;Cuartos de Final;2;OESTE;ARGENTINO DE CASTELAR CENTRO-DEFENSORES DE SANTOS LUGARES;1;24/11/2019;ARGENTINO DE CASTELAR CENTRO;64;DEFENSORES DE SANTOS LUGARES;57
2019;JUVENILES;Playoff;Cuartos de Final;2;OESTE;CENTRO ESPAÑOL-C.A.S.A PADUA B;1;24/11/2019;CENTRO ESPAÑOL;70;C.A.S.A PADUA B;37
2019;JUVENILES;Playoff;Cuartos de Final;1;OESTE;ESTUDIANTIL PORTEÑO A-LOS INDIOS DE MORENO BLANCO;1;24/11/2019;ESTUDIANTIL PORTEÑO A;89;LOS INDIOS DE MORENO BLANCO;77
2019;JUVENILES;Playoff;Cuartos de Final;1;OESTE;RAMOS MEJIA LTC-INSTITUCION SARMIENTO VERDE;1;24/11/2019;RAMOS MEJIA LTC;79;INSTITUCION SARMIENTO VERDE;61
2019;JUVENILES;Playoff;Cuartos de Final;1;OESTE;ARGENTINO DE CASTELAR NORTE-UNLAM A;1;24/11/2019;ARGENTINO DE CASTELAR NORTE;74;UNLAM A;55
2019;JUVENILES;Playoff;Cuartos de Final;1;OESTE;C.A.S.A PADUA A-LEANDRO N ALEM;1;24/11/2019;C.A.S.A PADUA A;85;LEANDRO N ALEM;68
2019;JUVENILES;Playoff;Cuartos de Final;1;NORTE;PLATENSE MARRON-CLUB TRES DE FEBRERO BLANCO;1;24/11/2019;PLATENSE MARRON;105;CLUB TRES DE FEBRERO BLANCO;63
2019;JUVENILES;Playoff;Cuartos de Final;1;NORTE;CAZA Y PESCA A-VICTORIA;1;24/11/2019;CAZA Y PESCA A;102;VICTORIA;55
2019;JUVENILES;Playoff;Cuartos de Final;1;NORTE;DEPORTIVO SAN ANDRES-NAUTICO HACOAJ BLANCO;1;24/11/2019;DEPORTIVO SAN ANDRES;71;NAUTICO HACOAJ BLANCO;75
2019;JUVENILES;Playoff;Cuartos de Final;1;NORTE;BANCO NACIÓN-SAN FERNANDO AZUL;1;24/11/2019;BANCO NACIÓN;96;SAN FERNANDO AZUL;86
2019;JUVENILES;Playoff;Cuartos de Final;1;CENTRO;SAN LORENZO AZUL-APV;1;24/11/2019;SAN LORENZO AZUL;68;APV;55
2019;JUVENILES;Playoff;Cuartos de Final;1;CENTRO;COLEGIALES BLANCO-COMUNICACIONES;1;24/11/2019;COLEGIALES BLANCO;75;COMUNICACIONES;57
2019;JUVENILES;Playoff;Cuartos de Final;1;CENTRO;"DEPORTIVO CROVARA  ""A""-PINOCHO BLANCO";1;24/11/2019;"DEPORTIVO CROVARA  ""A""";96;PINOCHO;91
2019;JUVENILES;Playoff;Cuartos de Final;1;CENTRO;VELEZ SARSFIELD BLANCO-JOSE HERNANDEZ A;1;24/11/2019;VELEZ SARSFIELD BLANCO;82;JOSE HERNANDEZ A;49
2019;JUVENILES;Playoff;Cuartos de Final;1;SUR;CAÑUELAS FC-TRISTAN SUAREZ;1;24/11/2019;CAÑUELAS FC;61;TRISTAN SUAREZ;65
2019;JUVENILES;Playoff;Cuartos de Final;1;SUR;RACING CLUB-BERAZATEGUI;1;24/11/2019;RACING CLUB;70;BERAZATEGUI;43
2019;JUVENILES;Playoff;Cuartos de Final;1;SUR;QUILMES A.C.-LANUS B;1;24/11/2019;QUILMES A.C.;59;LANUS B;56
2019;JUVENILES;Playoff;Cuartos de Final;1;SUR;TEMPERLEY-MONTE GRANDE;1;24/11/2019;TEMPERLEY;88;MONTE GRANDE;81
2019;JUVENILES;Playoff;Cuartos de Final;INTERCONFERENCIA;INTERCONFERENCIA;OBRAS CENTRO-A.F.A.L.P. A;1;24/11/2019;OBRAS CENTRO;92;A.F.A.L.P. A;62
2019;JUVENILES;Playoff;Cuartos de Final;INTERCONFERENCIA;INTERCONFERENCIA;BOCA JUNIORS AZUL-OBRAS NORTE;1;24/11/2019;BOCA JUNIORS AZUL;61;OBRAS NORTE;49
2019;JUVENILES;Playoff;Cuartos de Final;INTERCONFERENCIA;INTERCONFERENCIA;LANUS A-LOS INDIOS DE MORENO NEGRO;1;24/11/2019;LANUS A;87;LOS INDIOS DE MORENO NEGRO;53
2019;JUVENILES;Playoff;Cuartos de Final;INTERCONFERENCIA;INTERCONFERENCIA;PEDRO ECHAGUE AZUL-FERROCARRIL OESTE A;1;24/11/2019;PEDRO ECHAGUE AZUL;65;FERROCARRIL OESTE A;75
2019;JUVENILES;Playoff;Octavos de Final;2;CENTRO;FERROCARRIL OESTE B-NAUTICO BUCHARDO B;1;;FERROCARRIL OESTE B;92;NAUTICO BUCHARDO B;28
2019;JUVENILES;Playoff;Octavos de Final;2;CENTRO;ARMENIA-ITALIANO B;1;;ARMENIA;62;ITALIANO B;26
2019;JUVENILES;Fase Regular;2da Fase;1;CENTRO;B;1;30/6/2019;ARQUITECTURA NEGRO;65;PINOCHO;83
2019;JUVENILES;Playoff;Octavos de Final;2;CENTRO;COLEGIALES NEGRO-U.A.I. URQUIZA;1;;COLEGIALES NEGRO;20;U.A.I. URQUIZA;0
2019;JUVENILES;Playoff;Octavos de Final;2;CENTRO;EL TALAR-CIUDAD DE BUENOS AIRES B;1;;EL TALAR;64;CIUDAD DE BUENOS AIRES B;55
2019;JUVENILES;Playoff;Octavos de Final;2;CENTRO;IMPERIO NEGRO-SAN LORENZO ROJO;1;;IMPERIO NEGRO;55;SAN LORENZO ROJO;58
2019;JUVENILES;Playoff;Octavos de Final;1;SUR;RACING CLUB-SOCIAL LANUS;1;17/11/2019;RACING CLUB;102;SOCIAL LANUS;23
2019;JUVENILES;Playoff;Octavos de Final;1;SUR;QUILMES A.C.-COUNTRY BANFIELD;1;17/11/2019;QUILMES A.C.;116;COUNTRY BANFIELD A;51
2019;JUVENILES;Playoff;Octavos de Final;1;SUR;TEMPERLEY-CLUB ATLETICO BERNAL;1;17/11/2019;TEMPERLEY;87;CLUB ATLETICO BERNAL;57
2019;JUVENILES;Playoff;Octavos de Final;1;SUR;MONTE GRANDE-VILLA ESPAÑA;1;17/11/2019;MONTE GRANDE;82;VILLA ESPAÑA;81
2019;JUVENILES;Playoff;Octavos de Final;1;SUR;LANUS B-BURZACO FC A;1;17/11/2019;LANUS B;89;BURZACO FC A;44
2019;JUVENILES;Playoff;Octavos de Final;1;SUR;WILDE SPORTING-BERAZATEGUI;1;17/11/2019;WILDE SPORTING;65;BERAZATEGUI;72
2019;JUVENILES;Playoff;Octavos de Final;1;SUR;TRISTAN SUAREZ-INDEPENDIENTE DE BURZACO;1;17/11/2019;TRISTAN SUAREZ;64;INDEPENDIENTE DE BURZACO;54
2019;JUVENILES;Playoff;Octavos de Final;1;CENTRO;SAN LORENZO AZUL-MACABI;1;17/11/2019;SAN LORENZO AZUL;89;MACABI;30
2019;JUVENILES;Playoff;Octavos de Final;1;CENTRO;COLEGIALES BLANCO-COPELLO;1;17/11/2019;COLEGIALES BLANCO;106;COPELLO;49
2019;JUVENILES;Playoff;Octavos de Final;1;CENTRO;"DEPORTIVO CROVARA  ""A""-GEBA";1;17/11/2019;"DEPORTIVO CROVARA  ""A""";97;GEBA;67
2019;JUVENILES;Playoff;Octavos de Final;1;CENTRO;VELEZ SARSFIELD BLANCO-ITALIANO;1;17/11/2019;VELEZ SARSFIELD BLANCO;88;ITALIANO;55
2019;JUVENILES;Playoff;Octavos de Final;1;CENTRO;JOSE HERNANDEZ A-ARQUITECTURA NEGRO;1;17/11/2019;JOSE HERNANDEZ A;71;ARQUITECTURA NEGRO;48
2019;JUVENILES;Playoff;Octavos de Final;1;CENTRO;APV-VILLA MITRE;1;17/11/2019;APV;77;VILLA MITRE;66
2019;JUVENILES;Playoff;Octavos de Final;1;CENTRO;IMPERIO BLANCO-COMUNICACIONES;1;17/11/2019;IMPERIO BLANCO;53;COMUNICACIONES;58
2019;JUVENILES;Playoff;Octavos de Final;2;NORTE;UNIVERSIDAD DE BUENOS AIRES-CLUB TRES DE FEBRERO AZUL;1;17/11/2019;UNIVERSIDAD DE BUENOS AIRES;79;CLUB TRES DE FEBRERO AZUL;18
2019;JUVENILES;Playoff;Octavos de Final;2;NORTE;BANADE-LAS HERAS B;1;17/11/2019;BANADE;79;LAS HERAS B;47
2019;JUVENILES;Playoff;Octavos de Final;2;NORTE;NAUTICO BUCHARDO A-CIRCULO URQUIZA;1;17/11/2019;NAUTICO BUCHARDO A;20;CIRCULO URQUIZA AZUL;0
2019;JUVENILES;Playoff;Octavos de Final;2;NORTE;CAZA Y PESCA B-PLATENSE BLANCO;1;17/11/2019;CAZA Y PESCA B;74;PLATENSE BLANCO;56
2019;JUVENILES;Playoff;Octavos de Final;2;NORTE;TELEFONOS-CLUB 12 DE OCTUBRE;1;17/11/2019;TELEFONOS;55;CLUB 12 DE OCTUBRE;58
2019;JUVENILES;Playoff;Octavos de Final;2;NORTE;NAUTICO HACOAJ AZUL-HEBRAICA;1;17/11/2019;NAUTICO HACOAJ AZUL;49;HEBRAICA;54
2019;JUVENILES;Playoff;Octavos de Final;2;OESTE;HURACAN DE SAN JUSTO BLANCO-Club GEI BLANCO;1;17/11/2019;HURACAN DE SAN JUSTO BLANCO;63;Club GEI BLANCO;17
2019;JUVENILES;Playoff;Octavos de Final;2;OESTE;CENTRO ESPAÑOL-MORON B;1;17/11/2019;CENTRO ESPAÑOL;72;MORON B;52
2019;JUVENILES;Playoff;Octavos de Final;2;OESTE;DEFENSORES DE SANTOS LUGARES-ALTE. BROWN;1;17/11/2019;DEFENSORES DE SANTOS LUGARES;48;ALTE. BROWN;42
2019;JUVENILES;Playoff;Octavos de Final;1;NORTE;PLATENSE MARRON-CENTRO GALICIA;1;17/11/2019;PLATENSE MARRON;96;CENTRO GALICIA;54
2019;JUVENILES;Playoff;Octavos de Final;1;NORTE;CAZA Y PESCA A-SPORTIVO VILLA BALLESTER;1;17/11/2019;CAZA Y PESCA A;80;SPORTIVO VILLA BALLESTER;54
2019;JUVENILES;Playoff;Octavos de Final;1;NORTE;DEPORTIVO SAN ANDRES-ATLETICO BOULOGNE;1;17/11/2019;DEPORTIVO SAN ANDRES;62;ATLETICO BOULOGNE;30
2019;JUVENILES;Playoff;Octavos de Final;1;NORTE;SAN FERNANDO AZUL-HARRODS GATH Y CHAVES;1;17/11/2019;SAN FERNANDO AZUL;72;HARRODS GATH Y CHAVES;62
2019;JUVENILES;Playoff;Octavos de Final;1;NORTE;NAUTICO HACOAJ BLANCO-SOCIAL BECCAR;1;17/11/2019;NAUTICO HACOAJ BLANCO;76;SOCIAL BECCAR;48
2019;JUVENILES;Playoff;Octavos de Final;1;NORTE;VICTORIA-LAS HERAS A;1;17/11/2019;VICTORIA;71;LAS HERAS A;64
2019;JUVENILES;Playoff;Octavos de Final;1;NORTE;UNION FLORIDA-CLUB TRES DE FEBRERO BLANCO;1;17/11/2019;UNION FLORIDA;63;CLUB TRES DE FEBRERO BLANCO;64
2019;JUVENILES;Playoff;Octavos de Final;1;NORTE;BANCO NACIÓN-UNION VECINAL DE MUNRO;1;17/11/2019;BANCO NACIÓN;115;UNION VECINAL DE MUNRO;65
2019;JUVENILES;Playoff;Octavos de Final;1;OESTE;RAMOS MEJIA LTC-MIDLAND;1;17/11/2019;RAMOS MEJIA LTC;115;MIDLAND;32
