anio,categoria,fase,ronda,nivel,zona,grupo,jornada,fecha,local,ptsL,visitante,ptsV,BP_LOCAL,BP_VISITA,ORP_LOCAL,ORP_VISITA,peso_nivel,peso_anio,peso_ronda,peso_fase,LocalSuma,VisitaSuma
2022,JUVENILES,FINAL FOUR,SEMIFINAL,2,INTERCONFERENCIA,COOPERARIOS-EL TALAR,1,18/12/2022,COOPERARIOS,57,EL TALAR,81,250,750,30.0,-15.0,0.85,0.5,6,1.0,714.0,1874.2499999999998
2022,JUVENILES,FINAL FOUR,SEMIFINAL,2,INTERCONFERENCIA,VICTORIA-ARGENTINO DE CASTELAR CENTRO,1,18/12/2022,VICTORIA,92,ARGENTINO DE CASTELAR CENTRO,64,750,250,18.0,57.0,0.85,0.5,6,1.0,1958.3999999999999,782.8499999999999
2022,JUVENILES,FINAL FOUR,SEMIFINAL,1,INTERCONFERENCIA,SAN LORENZO AZUL-RACING CLUB,1,18/12/2022,SAN LORENZO AZUL,78,RACING CLUB,62,700,300,133.5,136.5,1.0,0.5,6,1.0,2500.5,1309.5
2022,JUVENILES,FINAL FOUR,SEMIFINAL,1,INTERCONFERENCIA,PRESIDENTE DERQUI-SPORTIVO ESCOBAR,1,18/12/2022,PRESIDENTE DERQUI,64,SPORTIVO ESCOBAR,67,350,650,-147.0,-142.5,1.0,0.5,6,1.0,609.0,1522.5
2022,JUVENILES,FINAL FOUR,FINAL,2,INTERCONFERENCIA,EL TALAR-VICTORIA,2,20/12/2022,EL TALAR,74,VICTORIA,63,700,300,57.0,30.0,0.85,0.5,6,1.0,1930.35,841.4999999999999
2022,JUVENILES,FINAL FOUR,FINAL,1,INTERCONFERENCIA,SAN LORENZO AZUL-SPORTIVO ESCOBAR,2,20/12/2022,SAN LORENZO AZUL,61,SPORTIVO ESCOBAR,65,350,650,-147.0,136.5,1.0,0.5,6,1.0,609.0,2359.5
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,FERROCARRIL OESTE A-INSTITUCION SARMIENTO VERDE,1,20/11/2022,FERROCARRIL OESTE A,80,INSTITUCION SARMIENTO VERDE,50,750,250,88.5,153.0,2.0,0.5,3,1.0,2515.5,1209.0
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,OBRAS NORTE-ARGENTINO DE CASTELAR NORTE,1,20/11/2022,OBRAS NORTE,78,ARGENTINO DE CASTELAR NORTE,66,700,300,102.0,130.5,2.0,0.5,3,1.0,2406.0,1291.5
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,G.E DE LOMAS DE ZAMORA A-CIUDAD DE BUENOS AIRES A,1,20/11/2022,G.E DE LOMAS DE ZAMORA A,64,CIUDAD DE BUENOS AIRES A,68,350,650,138.0,139.5,2.0,0.5,3,1.0,1464.0,2368.5
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,SAN FERNANDO AZUL-LANUS A,1,20/11/2022,SAN FERNANDO AZUL,72,LANUS A,61,700,300,154.5,90.0,2.0,0.5,3,1.0,2563.5,1170.0
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,BOCA JUNIORS AZUL-LOS INDIOS DE MORENO NEGRO,1,20/11/2022,BOCA JUNIORS AZUL,98,LOS INDIOS DE MORENO NEGRO,69,750,250,148.5,151.5,2.0,0.5,3,1.0,2695.5,1204.5
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,OBRAS CENTRO-C.A.S.A PADUA A,1,20/11/2022,OBRAS CENTRO,84,C.A.S.A PADUA A,50,750,250,121.5,144.0,2.0,0.5,3,1.0,2614.5,1182.0
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,GEVP BLANCO-WILDE SPORTING,1,20/11/2022,GEVP BLANCO,73,WILDE SPORTING,53,750,250,91.5,147.0,2.0,0.5,3,1.0,2524.5,1191.0
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,RIVER PLATE-VELEZ SARSFIELD BLANCO,1,20/11/2022,RIVER PLATE,72,VELEZ SARSFIELD BLANCO,67,650,350,97.5,150.0,2.0,0.5,3,1.0,2242.5,1500.0
2022,JUVENILES,Playoff,CUARTOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,OBRAS CENTRO-CIUDAD DE BUENOS AIRES A,2,27/11/2022,OBRAS CENTRO,78,CIUDAD DE BUENOS AIRES A,68,700,300,138.0,144.0,2.0,0.5,4,1.0,3352.0,1776.0
2022,JUVENILES,Playoff,CUARTOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,FERROCARRIL OESTE A-RIVER PLATE,2,27/11/2022,FERROCARRIL OESTE A,85,RIVER PLATE,80,650,350,150.0,153.0,2.0,0.5,4,1.0,3200.0,2012.0
2022,JUVENILES,Playoff,CUARTOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,BOCA JUNIORS AZUL-SAN FERNANDO AZUL,2,27/11/2022,BOCA JUNIORS AZUL,68,SAN FERNANDO AZUL,56,700,300,90.0,151.5,2.0,0.5,4,1.0,3160.0,1806.0
2022,JUVENILES,Playoff,CUARTOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,OBRAS NORTE-GEVP BLANCO,2,27/11/2022,OBRAS NORTE,70,GEVP BLANCO,65,650,350,147.0,130.5,2.0,0.5,4,1.0,3188.0,1922.0
2022,JUVENILES,Playoff,SEMIFINAL,INTERCONFERENCIA,INTERCONFERENCIA,BOCA JUNIORS AZUL-OBRAS NORTE,3,11/12/2022,BOCA JUNIORS AZUL,91,OBRAS NORTE,75,700,300,130.5,151.5,2.0,0.5,6,1.0,4983.0,2709.0
2022,JUVENILES,Playoff,SEMIFINAL,INTERCONFERENCIA,INTERCONFERENCIA,FERROCARRIL OESTE A-OBRAS CENTRO,3,11/12/2022,FERROCARRIL OESTE A,77,OBRAS CENTRO,84,350,650,144.0,153.0,2.0,0.5,6,1.0,2964.0,4818.0
