Equipo,Puntos
RAMOS MEJIA LTC B,9540.4375
DEP. MORON ROJO,9530.760624999999
A.F.A.L.P. B,9091.47625
TELEFONOS,8833.9375
VILLA SAHORES,8094.71875
ALTUBE,6610.90625
DEFENSORES DE MORENO,6544.687500000001
VILLA IDEAL,6503.25
SCHOLEM ALEIJEM,6224.96875
BURZACO FC B,5953.593750000001
FLORIDA CLUB,5106.5625
SIERO BIBLIOTECA,4052.343750000001
COUNTRY BANFIELD B,0.0
DEFENSORES DE HURLINGHAM  BLANCO,0.0
CLUB SOCIAL Y DEPORTIVO ARENAL,0.0
CLUB ATLETICO PILAR,0.0
CLUB CEPA,0.0
CLUB  JUVENTUD  UNIDA  DE LAVALLOL - FLEX,0.0
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,0.0
BELLA VISTA,0.0
BANCO PROVINCIA B,0.0
ATLETICO BOULOGNE FLEX,0.0
BANADE AMARILLO,0.0
ARQUITECTURA BLANCO,0.0
CIRCULO URQUIZA BLANCO,0.0
ALDO BONZI,0.0
ARGENTINO DE QUILMES,0.0
ALL BOYS NEGRO,0.0
ALL BOYS DE SAAVEDRA,0.0
CLUB ATLETICO HURACAN,0.0
LUZ Y ARTE,0.0
"ESTUDIANTIL PORTEÑO ""C""",0.0
EL PORVENIR,0.0
INDEPENDIENTE DE ESCOBAR,0.0
JUVENCIA,0.0
MUNICIPALIDAD DE HURLINGHAM,0.0
MONTE GRANDE FLEX,0.0
OLIMPO FLEX,0.0
PASO DEL REY,0.0
SAN MIGUEL BLANCO,0.0
SPORTIVO HAEDO,0.0
SOCIEDAD ATLETICA PABELLON ARGENTINO,0.0
VICTORIA FLEX,0.0
