Equipo,Puntos
FERROCARRIL OESTE A,211031.2
INSTITUCION SARMIENTO VERDE,177128.40000000002
OBRAS CENTRO,174659.40000000002
BOCA JUNIORS AZUL,159707.5
PINOCHO,153642.4
ESTUDIANTIL PORTEÑO A,153144.2
CLUB TRES DE FEBRERO BLANCO,152764.7
CAZA Y PESCA A,152388.90000000002
G.E DE LOMAS DE ZAMORA A,148230.7
ARGENTINO DE CASTELAR NORTE,145810.0
LANUS A,144268.6
GEVP BLANCO,143612.5
PRESIDENTE DERQUI,134863.7
WILDE SPORTING,133179.90000000002
TRISTAN SUAREZ,125303.475
C.A.S.A PADUA A,124482.375
COMUNICACIONES,118102.225
QUILMES A.C.,114169.55000000002
RIVER PLATE,110127.5
VELEZ SARSFIELD BLANCO,108748.70000000001
OBRAS NORTE,108288.5625
MORON A,106620.70000000001
CLUB ATLETICO PILAR,106420.1625
CLARIDAD,104633.70000000001
CLUB SPORTIVO PILAR,103374.80000000002
SAN LORENZO AZUL,102493.65000000001
SAN FERNANDO AZUL,102305.15
SPORTIVO ESCOBAR,101381.92500000002
CIUDAD DE BUENOS AIRES A,101296.6
LOS INDIOS DE MORENO NEGRO,98586.1625
ITALIANO,96467.1
PLATENSE MARRON,95789.875
PEDRO ECHAGUE AZUL,94632.20000000001
VARELA JRS,93053.0875
DEP. MORON BLANCO,92159.1175
CLUB GEI AZUL,92015.875
SAN MIGUEL,90411.3825
DEFENSORES DE HURLINGHAM VERDE,89850.5875
CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,88808.3
SOCIAL BECCAR,87928.7125
A.F.A.L.P. A,85920.15
ARGENTINO DE CASTELAR CENTRO,85476.02125
BERAZATEGUI,85298.07500000001
HURACAN DE SAN JUSTO ROJO,83970.1625
TEMPERLEY,83340.15
CAÑUELAS FC,80710.31
BURZACO FC A,79207.68
MONTE GRANDE,79059.12125
APV,78857.58
CLUB SOCIAL ALEJANDRO KORN,78820.2175
ARQUITECTURA NEGRO,78749.5375
COUNTRY BANFIELD A,73962.33937500001
UNION FLORIDA,73006.88750000001
MIDLAND,72643.005
RACING CLUB,71688.0375
EL TALAR,71423.52
VILLEGAS BASQUET,70173.2125
LOBOS ATHLETIC CLUB,68856.57
IMPERIO BLANCO,68518.15
VICTORIA,68137.0025
UNION VECINAL DE MUNRO,68118.8425
NAUTICO HACOAJ BLANCO,67370.005
BANCO NACIÓN,66186.325
ATLETICO BOULOGNE,65522.375
JOSE HERNANDEZ A,65169.54000000001
U.V.V.ADELINA,65152.74375000001
BANCO PROVINCIA,65042.72
LANUS B,64871.7275
ALL BOYS BLANCO,63713.6075
LOS INDIOS DE MORENO BLANCO,63101.76000000001
HARRODS GATH Y CHAVES,63098.119999999995
UNITARIOS DE MARCOS PAZ,63088.666874999995
PORTEÑO ATLETICO CLUB,62660.615000000005
INDEPENDIENTE DE BURZACO,62162.865000000005
ARMENIA,61908.92375
"DEPORTIVO CROVARA  ""A""",61714.9675
SPORTIVO VILLA BALLESTER,61688.134999999995
INDEPENDIENTE,61680.425
BANADE,61618.115000000005
NAUTICO BUCHARDO A,61366.8525
COLEGIALES BLANCO,61298.61
COPELLO,61008.248125
CLUB SOCIAL Y DEPORTIVO ARENAL,60837.448125
FERROCARRIL OESTE B,60212.384999999995
GEBA,59628.229375
COOPERATIVA TORTUGUITAS,59391.338125
CLUB TRES DE FEBRERO AZUL,59128.594375
OLIMPO,58884.26625
PINOCHO BLANCO,57959.396875000006
DEFENSORES DE BANFIELD,57339.97
VILLA MITRE,56865.950000000004
SPORTIVO ALSINA,56001.2725
UNIVERSIDAD DE BUENOS AIRES,55276.0
JUVENTUD UNIDA,55156.335
CEDEM,54831.69
NOLTING,54086.9975
VELEZ SARSFIELD AZUL,54066.489375000005
CLUB ATLETICO BERNAL,54018.5175
CIUDAD DE BUENOS AIRES B,53735.176875000005
ARGENTINOS JUNIORS,53311.760625
CLUB SOCIAL EZEIZA,53106.84
INDEPENDIENTE DE ESCOBAR,52733.350625
ESTUDIANTIL PORTEÑO B,52226.450000000004
RAMOS MEJIA LTC,51468.845
GEVP CELESTE,51359.427500000005
CIRCULO URQUIZA AZUL,51164.965625
MACABI,50859.65625
GUILLON BASQUET,49186.93125
LEANDRO N ALEM,49146.76000000001
CENTRO GALICIA,49109.11
LOS ANDES,48891.78
LAS HERAS A,48736.43
ESTRELLA DE BOEDO,48282.7275
G.E DE LOMAS DE ZAMORA B,47488.254375000004
YUPANQUI,46068.520625000005
VILLA ESPAÑA,45809.40000000001
ITALIANO B,45282.9
SITAS,45157.203125
INSTITUCION SARMIENTO BLANCO,45078.345
SOCIAL LANUS,45015.01875
CLUB CEPA,44944.98375
FERROCARRIL OESTE C,44661.785
EL PALOMAR,43784.918750000004
CENTRO ESPAÑOL,43668.137500000004
CLUB PORTUGUES DEL GRAN BUENOS AIRES,43287.36375
CAZA Y PESCA B,43192.012500000004
COOPERARIOS,43096.69
LUZ Y ARTE,43060.721875
DEFENSORES DE GLEW,42978.39
BOCA JUNIORS AMARILLO,42620.90625
RACING ANEXO,42404.786250000005
DEFENSORES DE SANTOS LUGARES,42284.9375
DEPORTIVO SAN ANDRES,42202.8725
BELLA VISTA,41828.26125
HEBRAICA,41700.970625
MORENO DE QUILMES,40212.5775
MORON B,40006.56375
CLUB ATLETICO PAMPERO,39774.640625
C.A.S.A PADUA B,39175.0175
ARQUITECTURA BLANCO,38582.275
PLATENSE BLANCO,38021.51625
UNLAM A,37966.698125
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,37640.3625
DEFENSORES DE MORENO,37287.65625
SAN LORENZO ROJO,36807.36875
CLUB GEI BLANCO,36755.9625
IMPERIO NEGRO,35633.325000000004
MUNICIPALIDAD DE AVELLANEDA,35413.66875
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,35020.1075
PINOCHO VERDE,34255.162500000006
17 DE AGOSTO,34120.58
JOSE HERNANDEZ B,33564.88375
COLON FC,33200.80625
ARGENTINO DE QUILMES,33155.606250000004
PEDRO ECHAGUE AMARILLO,32935.74375
TAPONAZO  FUTBOL CLUB,32599.612500000003
CLUB EL FOGON,32018.4275
SAN FERNANDO BLANCO,31631.046875
LA UNION,31146.61875
ITALIANO DE JOSE C PAZ,30348.3375
CIUDADELA NORTE,30208.348750000005
ALL BOYS DE SAAVEDRA,29996.606250000004
EL PORVENIR,29973.589375000003
DEP. MORON ROJO,29825.448750000003
PASO DEL REY,29645.606250000004
SAN MIGUEL BLANCO,29582.7075
COLEGIALES NEGRO,29276.194375
SPORTIVO HAEDO,27917.175000000003
CLUB 12 DE OCTUBRE,26502.9375
LAS HERAS B,26243.5875
TALLERES,25854.80625
NAUTICO BUCHARDO B,25777.197500000002
ALDO BONZI,25589.081875
ALL BOYS NEGRO,25159.875
DEFENSORES DE HURLINGHAM  BLANCO,24583.162500000002
BURZACO FC B,24575.11875
DEPORTIVO CROVARA B,23599.12625
JUVENCIA,22619.2125
NUEVA CHICAGO,22268.025
NAUTICO HACOAJ AZUL,21981.61875
CIRCULO URQUIZA BLANCO,21572.362500000003
CLUB ATLETICO HURACAN,20860.36875
HURACAN DE SAN JUSTO BLANCO,20852.8125
A.F.A.L.P. B,20336.550000000003
BANADE AMARILLO,19344.975000000002
COUNTRY BANFIELD B,17124.65625
MUNICIPALIDAD DE HURLINGHAM,13965.900000000001
VICTORIA FLEX,13790.887500000003
CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO,13421.33
CLUB  JUVENTUD  UNIDA  DE LAVALLOL - FLEX,12746.175000000001
OLIMPO FLEX,10791.787500000002
ATLETICO BOULOGNE FLEX,10151.212500000001
SOCIEDAD ATLETICA PABELLON ARGENTINO,9456.768750000001
LIBRE,6969.365
MONTE GRANDE FLEX,5903.137500000001
