anio;categoria;fase;ronda;nivel;zona;grupo;jornada;fecha;local;ptsL;visitante;ptsV
2025;LIGA PROXIMO MASCULINO;Final Four;SEMIFINAL;3;Desconocida;SPORTIVO HAEDO-UNIVERSIDAD DE BUENOS AIRES;1;11/12/2025;SPORTIVO HAEDO;48;UNIVERSIDAD DE BUENOS AIRES;57
2025;LIGA PROXIMO MASCULINO;Final Four;SEMIFINAL;3;Desconocida;GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA B-CIRCULO URQUIZA;1;11/12/2025;GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA B;71;CIRCULO URQUIZA A;73
2025;LIGA PROXIMO MASCULINO;Final Four;FINAL;3;Desconocida;UNIVERSIDAD DE BUENOS AIRES-CIRCULO URQUIZA;1;14/12/2025;UNIVERSIDAD DE BUENOS AIRES;48;CIRCULO URQUIZA A;53
2025;LIGA PROXIMO MASCULINO;Final Four;SEMIFINAL;2;Desconocida;LAS HERAS A-CLUB CEPA;1;11/12/2025;LAS HERAS A;63;CLUB CEPA;81
2025;LIGA PROXIMO MASCULINO;Final Four;SEMIFINAL;2;Desconocida;LUZ Y ARTE-GEBA;1;11/12/2025;LUZ Y ARTE;48;GEBA;72
2025;LIGA PROXIMO MASCULINO;Final Four;FINAL;2;Desconocida;CLUB CEPA-GEBA;1;14/12/2025;CLUB CEPA;84;GEBA;66
2025;LIGA PROXIMO MASCULINO;Playoff;Final;INTERCONFERENCIA;INTERCONFERENCIA;OBRAS BASKET-PINOCHO;1;07/12/2025;OBRAS SANITARIAS A;78;PINOCHO A;80
2025;LIGA PROXIMO MASCULINO;Playoff;Final;INTERCONFERENCIA;INTERCONFERENCIA;SAN LORENZO AZUL-CLUB ATLETICO PILAR;1;07/12/2025;SAN LORENZO A;75;CLUB ATLETICO PILAR;63
2025;LIGA PROXIMO MASCULINO;Playoff;Triangular Final;Desconocido;SUR;COOPERARIOS-LUZ Y ARTE;1;06/12/2025;COOPERARIOS;59;LUZ Y ARTE;68
2025;LIGA PROXIMO MASCULINO;Playoff;Triangular Final;Desconocido;SUR;GUILLON BÁSQUET-COOPERARIOS;2;;GUILLON BASQUET;59;COOPERARIOS;49
2025;LIGA PROXIMO MASCULINO;Playoff;Triangular Final;Desconocido;SUR;LUZ Y ARTE-GUILLON BÁSQUET;3;;LUZ Y ARTE;51;GUILLON BASQUET;43
2025;LIGA PROXIMO MASCULINO;Final Four;SEMIFINAL;2;Desconocida;COLEGIALES BLANCO-LAS HERAS A;1;05/12/2025;COLEGIALES A;49;LAS HERAS A;58
2025;LIGA PROXIMO MASCULINO;Final Four;SEMIFINAL;2;Desconocida;NOLTING-CLUB CEPA;1;05/12/2025;NOLTING;81;CLUB CEPA;91
2025;LIGA PROXIMO MASCULINO;Final Four;SEMIFINAL;1;Desconocida;MIDLAND-PLATENSE MARRON;1;07/12/2025;MIDLAND;82;PLATENSE A;72
2025;LIGA PROXIMO MASCULINO;Final Four;SEMIFINAL;1;Desconocida;INDEPENDIENTE-ITALIANO;1;07/12/2025;INDEPENDIENTE A;77;ITALIANO A;46
2025;LIGA PROXIMO MASCULINO;Final Four;FINAL;1;Desconocida;MIDLAND-INDEPENDIENTE;1;07/12/2025;MIDLAND;64;INDEPENDIENTE A;61
2025;LIGA PROXIMO MASCULINO;Playoff;SEMIFINAL;2;SUR;DEFENSORES DE GLEW-TAPONAZO  FUTBOL CLUB;1;30/11/2025;DEFENSORES DE GLEW;94;TAPONAZO  FUTBOL CLUB;84
2025;LIGA PROXIMO MASCULINO;Playoff;SEMIFINAL;2;SUR;GUILLON BÁSQUET-CLUB EL FOGON;1;30/11/2025;GUILLON BASQUET;69;CLUB EL FOGON;42
2025;LIGA PROXIMO MASCULINO;Playoff;FINAL;2;SUR;DEFENSORES DE GLEW-GUILLON BÁSQUET;1;03/12/2025;DEFENSORES DE GLEW;55;GUILLON BASQUET;58
2025;LIGA PROXIMO MASCULINO;Playoff;SEMIFINAL;2;SUR;TALLERES-SPORTIVO ALSINA;1;30/11/2025;TALLERES;85;SPORTIVO ALSINA;54
2025;LIGA PROXIMO MASCULINO;Playoff;SEMIFINAL;2;SUR;SOCIAL LANUS-LUZ Y ARTE;1;30/11/2025;SOCIAL LANUS;42;LUZ Y ARTE;66
2025;LIGA PROXIMO MASCULINO;Playoff;FINAL;2;SUR;TALLERES-LUZ Y ARTE;1;03/12/2025;TALLERES;53;LUZ Y ARTE;58
